Date,Product Name,Category,Opening Stock,Purchase Quantity,Units Sold,Closing Stock,Purchase Price,Sale Price,Supplier Name
2026-04-01,Classic Cotton Shirt,Men's Wear,75,34,25,84,756,951.62,Mahalaxmi Traders
2026-04-01,Slim Fit Jeans,Men's Wear,109,57,20,146,719,1069.04,Royal Fabrics
2026-04-01,Linen Kurta,Men's Wear,67,52,25,94,430,541.98,Vardhan Apparels
2026-04-01,Formal Trousers,Men's Wear,109,12,11,110,408,590.15,Royal Fabrics
2026-04-01,Graphic T-Shirt,Men's Wear,40,30,42,28,1439,2206.42,BlueLeaf Wholesale
2026-04-01,Silk Saree,Women's Wear,59,15,8,66,2031,2780.62,Surya Textiles
2026-04-01,Floral Kurti,Women's Wear,85,42,45,82,679,939.04,Vardhan Apparels
2026-04-01,Leggings Pack,Women's Wear,98,27,35,90,1383,2119.44,Royal Fabrics
2026-04-01,Designer Blouse,Women's Wear,120,5,4,121,622,897.68,Vardhan Apparels
2026-04-01,Denim Jacket,Women's Wear,45,34,39,40,1087,1626.8,Urban Stitch Pvt Ltd
2026-04-01,Kids Cartoon T-Shirt,Kids Wear,52,37,30,59,626,969.9,Royal Fabrics
2026-04-01,School Uniform Set,Kids Wear,85,37,24,98,1794,2344.63,BlueLeaf Wholesale
2026-04-01,Kids Ethnic Wear,Kids Wear,61,10,8,63,592,866.21,Royal Fabrics
2026-04-01,Baby Romper,Kids Wear,111,40,25,126,1854,2492.67,Surya Textiles
2026-04-01,Kids Sneakers,Kids Wear,80,37,30,87,1238,1903.59,Surya Textiles
2026-04-01,Leather Belt,Accessories,112,11,10,113,366,574.47,BlueLeaf Wholesale
2026-04-01,Fashion Handbag,Accessories,98,13,7,104,661,917.78,Mahalaxmi Traders
2026-04-01,Printed Scarf,Accessories,108,9,2,115,402,607.32,Royal Fabrics
2026-04-01,Silver Earrings,Accessories,68,52,22,98,747,1038.17,Royal Fabrics
2026-04-01,Sports Cap,Accessories,54,60,22,92,243,368.03,Mahalaxmi Traders
2026-04-01,Running Shoes,Footwear,89,58,30,117,1364,1989.73,Royal Fabrics
2026-04-01,Casual Sandals,Footwear,110,20,45,85,1583,2118.05,BlueLeaf Wholesale
2026-04-01,Formal Shoes,Footwear,108,10,2,116,734,1092.63,Urban Stitch Pvt Ltd
2026-04-01,Women's Heels,Footwear,60,5,12,53,728,984.78,BlueLeaf Wholesale
2026-04-01,Flip Flops,Footwear,62,26,34,54,1039,1652.18,BlueLeaf Wholesale
2026-04-01,Winter Hoodie,Men's Wear,104,3,0,107,1522,2350.86,Mahalaxmi Traders
2026-04-01,Heavy Bridal Lehenga,Women's Wear,109,0,4,105,1831,2777.41,Vardhan Apparels
2026-04-01,Woolen Shawl,Women's Wear,54,4,0,58,1627,2311.99,Mahalaxmi Traders
2026-04-01,Party Clutch,Accessories,112,1,0,113,209,278.87,BlueLeaf Wholesale
2026-04-01,Leather Boots,Footwear,108,2,1,109,1495,2295.73,BlueLeaf Wholesale
2026-04-08,Classic Cotton Shirt,Men's Wear,61,53,26,88,2246,3551.82,Vardhan Apparels
2026-04-08,Slim Fit Jeans,Men's Wear,109,32,42,99,2033,3227.44,BlueLeaf Wholesale
2026-04-08,Linen Kurta,Men's Wear,87,53,32,108,1576,2190.08,Royal Fabrics
2026-04-08,Formal Trousers,Men's Wear,48,5,10,43,795,1062.73,Vardhan Apparels
2026-04-08,Graphic T-Shirt,Men's Wear,40,60,20,80,1242,1808.29,Surya Textiles
2026-04-08,Silk Saree,Women's Wear,44,7,10,41,1237,1575.43,Vardhan Apparels
2026-04-08,Floral Kurti,Women's Wear,102,54,24,132,1274,1716.67,Mahalaxmi Traders
2026-04-08,Leggings Pack,Women's Wear,100,46,43,103,2236,2985.17,Mahalaxmi Traders
2026-04-08,Designer Blouse,Women's Wear,95,6,2,99,686,880.77,Royal Fabrics
2026-04-08,Denim Jacket,Women's Wear,46,26,39,33,2212,3433.78,Surya Textiles
2026-04-08,Kids Cartoon T-Shirt,Kids Wear,53,32,25,60,1949,2933.0,Mahalaxmi Traders
2026-04-08,School Uniform Set,Kids Wear,94,37,23,108,2496,3511.91,Royal Fabrics
2026-04-08,Kids Ethnic Wear,Kids Wear,49,8,12,45,1323,2058.68,Surya Textiles
2026-04-08,Baby Romper,Kids Wear,70,46,23,93,360,572.09,Royal Fabrics
2026-04-08,Kids Sneakers,Kids Wear,91,30,19,102,2271,3008.65,Royal Fabrics
2026-04-08,Leather Belt,Accessories,73,14,12,75,152,242.42,Royal Fabrics
2026-04-08,Fashion Handbag,Accessories,102,11,7,106,719,1065.31,Urban Stitch Pvt Ltd
2026-04-08,Printed Scarf,Accessories,114,0,4,110,372,591.13,BlueLeaf Wholesale
2026-04-08,Silver Earrings,Accessories,114,52,33,133,471,598.17,Vardhan Apparels
2026-04-08,Sports Cap,Accessories,105,31,20,116,311,394.94,Surya Textiles
2026-04-08,Running Shoes,Footwear,70,27,30,67,1718,2188.36,Vardhan Apparels
2026-04-08,Casual Sandals,Footwear,45,25,37,33,1004,1458.43,Royal Fabrics
2026-04-08,Formal Shoes,Footwear,80,3,2,81,1695,2454.07,BlueLeaf Wholesale
2026-04-08,Women's Heels,Footwear,90,14,7,97,1143,1524.24,Royal Fabrics
2026-04-08,Flip Flops,Footwear,49,49,18,80,1147,1806.7,Vardhan Apparels
2026-04-08,Winter Hoodie,Men's Wear,67,4,0,71,709,904.43,Mahalaxmi Traders
2026-04-08,Heavy Bridal Lehenga,Women's Wear,71,4,2,73,1729,2694.3,Mahalaxmi Traders
2026-04-08,Woolen Shawl,Women's Wear,78,10,0,88,2094,3228.55,Vardhan Apparels
2026-04-08,Party Clutch,Accessories,110,10,2,118,158,234.43,Surya Textiles
2026-04-08,Leather Boots,Footwear,53,2,4,51,775,1040.49,Urban Stitch Pvt Ltd
2026-04-15,Classic Cotton Shirt,Men's Wear,83,60,24,119,1454,2125.3,Urban Stitch Pvt Ltd
2026-04-15,Slim Fit Jeans,Men's Wear,46,60,20,86,2370,3367.74,Royal Fabrics
2026-04-15,Linen Kurta,Men's Wear,82,28,42,68,1433,1813.36,BlueLeaf Wholesale
2026-04-15,Formal Trousers,Men's Wear,96,5,11,90,1372,1792.59,Surya Textiles
2026-04-15,Graphic T-Shirt,Men's Wear,59,22,35,46,608,961.11,Urban Stitch Pvt Ltd
2026-04-15,Silk Saree,Women's Wear,45,16,9,52,906,1268.79,Surya Textiles
2026-04-15,Floral Kurti,Women's Wear,71,42,39,74,1765,2336.02,Vardhan Apparels
2026-04-15,Leggings Pack,Women's Wear,59,30,25,64,1964,3124.42,Mahalaxmi Traders
2026-04-15,Designer Blouse,Women's Wear,82,10,3,89,1988,2502.25,BlueLeaf Wholesale
2026-04-15,Denim Jacket,Women's Wear,53,22,30,45,1316,1767.89,Royal Fabrics
2026-04-15,Kids Cartoon T-Shirt,Kids Wear,98,39,29,108,1211,1598.34,Mahalaxmi Traders
2026-04-15,School Uniform Set,Kids Wear,64,41,30,75,1213,1526.3,Urban Stitch Pvt Ltd
2026-04-15,Kids Ethnic Wear,Kids Wear,75,17,10,82,584,927.63,BlueLeaf Wholesale
2026-04-15,Baby Romper,Kids Wear,43,36,21,58,2496,3409.29,Mahalaxmi Traders
2026-04-15,Kids Sneakers,Kids Wear,116,42,31,127,1387,1752.32,BlueLeaf Wholesale
2026-04-15,Leather Belt,Accessories,105,17,6,116,471,660.69,Vardhan Apparels
