Product Name,Category,Units Sold,Opening Stock,Closing Stock,Purchase Price,Sale Price,Date
Floral Kurti,Women's Wear,13,120,107,350,599,2025-01-01
Leggings Pack,Women's Wear,8,180,172,220,349,2025-01-01
Cotton Saree,Women's Wear,3,80,77,700,999,2025-01-01
Casual Shirt,Men's Wear,5,100,95,500,799,2025-01-01
Formal Trousers,Men's Wear,0,70,70,900,1049,2025-01-01
Graphic T-Shirt,Men's Wear,6,140,134,300,499,2025-01-01
Kids Frock,Kids Wear,3,90,87,280,449,2025-01-01
School Shorts,Kids Wear,3,110,107,180,299,2025-01-01
Kids Hoodie,Kids Wear,4,60,56,450,649,2025-01-01
Running Shoes,Footwear,3,75,72,1200,1599,2025-01-01
Casual Sandals,Footwear,3,85,82,500,699,2025-01-01
Leather Belt,Accessories,0,65,65,250,289,2025-01-01
Fashion Scarf,Accessories,0,55,55,180,299,2025-01-01
Baseball Cap,Accessories,3,70,67,160,229,2025-01-01
Silver Anklet,Accessories,0,50,50,350,549,2025-01-01
Floral Kurti,Women's Wear,7,107,100,350,599,2025-01-02
Leggings Pack,Women's Wear,10,172,162,220,349,2025-01-02
Cotton Saree,Women's Wear,4,77,73,700,999,2025-01-02
Casual Shirt,Men's Wear,4,95,91,500,799,2025-01-02
Formal Trousers,Men's Wear,1,70,69,900,1049,2025-01-02
Graphic T-Shirt,Men's Wear,5,134,129,300,499,2025-01-02
Kids Frock,Kids Wear,2,87,85,280,449,2025-01-02
School Shorts,Kids Wear,6,107,101,180,299,2025-01-02
Kids Hoodie,Kids Wear,3,56,53,450,649,2025-01-02
Running Shoes,Footwear,1,72,71,1200,1599,2025-01-02
Casual Sandals,Footwear,3,82,79,500,699,2025-01-02
Leather Belt,Accessories,0,65,65,250,289,2025-01-02
Fashion Scarf,Accessories,2,55,53,180,299,2025-01-02
Baseball Cap,Accessories,3,67,64,160,229,2025-01-02
Silver Anklet,Accessories,0,50,50,350,549,2025-01-02
Floral Kurti,Women's Wear,12,100,88,350,599,2025-01-03
Leggings Pack,Women's Wear,13,162,149,220,349,2025-01-03
Cotton Saree,Women's Wear,2,73,71,700,999,2025-01-03
Casual Shirt,Men's Wear,4,91,87,500,799,2025-01-03
Formal Trousers,Men's Wear,0,69,69,900,1049,2025-01-03
Graphic T-Shirt,Men's Wear,5,129,124,300,499,2025-01-03
Kids Frock,Kids Wear,5,85,80,280,449,2025-01-03
School Shorts,Kids Wear,7,101,94,180,299,2025-01-03
Kids Hoodie,Kids Wear,3,53,50,450,649,2025-01-03
Running Shoes,Footwear,3,71,68,1200,1599,2025-01-03
Casual Sandals,Footwear,3,79,76,500,699,2025-01-03
Leather Belt,Accessories,0,65,65,250,289,2025-01-03
Fashion Scarf,Accessories,0,53,53,180,299,2025-01-03
Baseball Cap,Accessories,3,64,61,160,229,2025-01-03
Silver Anklet,Accessories,0,50,50,350,549,2025-01-03
Floral Kurti,Women's Wear,16,88,72,350,599,2025-01-04
Leggings Pack,Women's Wear,12,149,137,220,349,2025-01-04
Cotton Saree,Women's Wear,3,71,68,700,999,2025-01-04
Casual Shirt,Men's Wear,6,87,81,500,799,2025-01-04
Formal Trousers,Men's Wear,0,69,69,900,1049,2025-01-04
Graphic T-Shirt,Men's Wear,6,124,118,300,499,2025-01-04
Kids Frock,Kids Wear,4,80,76,280,449,2025-01-04
School Shorts,Kids Wear,7,94,87,180,299,2025-01-04
Kids Hoodie,Kids Wear,2,50,48,450,649,2025-01-04
Running Shoes,Footwear,1,68,67,1200,1599,2025-01-04
Casual Sandals,Footwear,5,76,71,500,699,2025-01-04
Leather Belt,Accessories,2,65,63,250,289,2025-01-04
Fashion Scarf,Accessories,2,53,51,180,299,2025-01-04
Baseball Cap,Accessories,5,61,56,160,229,2025-01-04
Silver Anklet,Accessories,0,50,50,350,549,2025-01-04
Floral Kurti,Women's Wear,8,72,64,350,599,2025-01-05
Leggings Pack,Women's Wear,8,137,129,220,349,2025-01-05
Cotton Saree,Women's Wear,3,68,65,700,999,2025-01-05
Casual Shirt,Men's Wear,4,81,77,500,799,2025-01-05
Formal Trousers,Men's Wear,0,69,69,900,1049,2025-01-05
Graphic T-Shirt,Men's Wear,5,118,113,300,499,2025-01-05
Kids Frock,Kids Wear,3,76,73,280,449,2025-01-05
School Shorts,Kids Wear,3,87,84,180,299,2025-01-05
Kids Hoodie,Kids Wear,4,48,44,450,649,2025-01-05
Running Shoes,Footwear,1,67,66,1200,1599,2025-01-05
Casual Sandals,Footwear,3,71,68,500,699,2025-01-05
Leather Belt,Accessories,1,63,62,250,289,2025-01-05
Fashion Scarf,Accessories,1,51,50,180,299,2025-01-05
Baseball Cap,Accessories,2,56,54,160,229,2025-01-05
Silver Anklet,Accessories,0,50,50,350,549,2025-01-05
Floral Kurti,Women's Wear,13,64,51,350,599,2025-01-06
Leggings Pack,Women's Wear,8,129,121,220,349,2025-01-06
Cotton Saree,Women's Wear,3,65,62,700,999,2025-01-06
Casual Shirt,Men's Wear,3,77,74,500,799,2025-01-06
Formal Trousers,Men's Wear,0,69,69,900,1049,2025-01-06
Graphic T-Shirt,Men's Wear,6,113,107,300,499,2025-01-06
Kids Frock,Kids Wear,3,73,70,280,449,2025-01-06
School Shorts,Kids Wear,4,84,80,180,299,2025-01-06
Kids Hoodie,Kids Wear,2,44,42,450,649,2025-01-06
Running Shoes,Footwear,2,66,64,1200,1599,2025-01-06
Casual Sandals,Footwear,1,68,67,500,699,2025-01-06
Leather Belt,Accessories,0,62,62,250,289,2025-01-06
Fashion Scarf,Accessories,0,50,50,180,299,2025-01-06
Baseball Cap,Accessories,3,54,51,160,229,2025-01-06
Silver Anklet,Accessories,0,50,50,350,549,2025-01-06
Floral Kurti,Women's Wear,8,51,43,350,599,2025-01-07
Leggings Pack,Women's Wear,7,121,114,220,349,2025-01-07
Cotton Saree,Women's Wear,4,62,58,700,999,2025-01-07
Casual Shirt,Men's Wear,5,74,69,500,799,2025-01-07
Formal Trousers,Men's Wear,0,69,69,900,1049,2025-01-07
Graphic T-Shirt,Men's Wear,7,107,100,300,499,2025-01-07
Kids Frock,Kids Wear,2,70,68,280,449,2025-01-07
School Shorts,Kids Wear,6,80,74,180,299,2025-01-07
Kids Hoodie,Kids Wear,3,42,39,450,649,2025-01-07
Running Shoes,Footwear,1,64,63,1200,1599,2025-01-07
Casual Sandals,Footwear,4,67,63,500,699,2025-01-07
Leather Belt,Accessories,0,62,62,250,289,2025-01-07
Fashion Scarf,Accessories,0,50,50,180,299,2025-01-07
Baseball Cap,Accessories,1,51,50,160,229,2025-01-07
Silver Anklet,Accessories,2,50,48,350,549,2025-01-07
Floral Kurti,Women's Wear,7,43,36,350,599,2025-01-08
Leggings Pack,Women's Wear,12,114,102,220,349,2025-01-08
Cotton Saree,Women's Wear,4,58,54,700,999,2025-01-08
