Date,Product Name,Category,Opening Stock,Purchase Quantity,Units Sold,Closing Stock,Inventory Turnover Ratio,Purchase Price,Sale Price,Supplier Name
2026-04-01,Classic Cotton Shirt,Men's Wear,89,56,82,63,1.08,514,690.66,Surya Textiles
2026-04-01,Slim Fit Jeans,Men's Wear,75,51,86,40,1.5,456,630.51,Surya Textiles
2026-04-01,Linen Kurta,Men's Wear,75,51,109,17,2.37,953,1236.3,Mahalaxmi Traders
2026-04-01,Formal Trousers,Men's Wear,125,12,39,98,0.35,970,1213.07,Royal Fabrics
2026-04-01,Graphic T-Shirt,Men's Wear,86,58,71,73,0.89,586,733.85,Surya Textiles
2026-04-01,Silk Saree,Women's Wear,86,10,29,67,0.38,679,1007.3,Royal Fabrics
2026-04-01,Floral Kurti,Women's Wear,93,32,114,11,2.19,2253,3025.47,Urban Stitch Pvt Ltd
2026-04-01,Leggings Pack,Women's Wear,70,43,117,-4,3.55,1706,2443.99,Vardhan Apparels
2026-04-01,Designer Blouse,Women's Wear,60,30,90,0,3.0,2458,3558.41,BlueLeaf Wholesale
2026-04-01,Denim Jacket,Women's Wear,74,70,115,29,2.23,2400,3364.88,BlueLeaf Wholesale
2026-04-01,Kids Cartoon T-Shirt,Kids Wear,66,53,97,22,2.2,2291,3281.2,Surya Textiles
2026-04-01,School Uniform Set,Kids Wear,45,61,107,-1,4.86,1043,1568.71,Urban Stitch Pvt Ltd
2026-04-01,Kids Ethnic Wear,Kids Wear,140,22,22,140,0.16,996,1361.75,BlueLeaf Wholesale
2026-04-01,Baby Romper,Kids Wear,89,51,66,74,0.81,2170,3006.92,Mahalaxmi Traders
2026-04-01,Kids Sneakers,Kids Wear,63,30,87,6,2.52,661,1018.64,Mahalaxmi Traders
2026-04-01,Leather Belt,Accessories,77,30,29,78,0.37,565,811.45,Royal Fabrics
2026-04-01,Fashion Handbag,Accessories,139,25,25,139,0.18,795,1194.17,Mahalaxmi Traders
2026-04-01,Printed Scarf,Accessories,88,59,67,80,0.8,699,982.5,Surya Textiles
2026-04-01,Silver Earrings,Accessories,41,46,116,-29,19.33,287,404.59,Urban Stitch Pvt Ltd
2026-04-01,Sports Cap,Accessories,80,56,65,71,0.86,428,678.01,Surya Textiles
2026-04-01,Running Shoes,Footwear,62,35,70,27,1.57,1764,2243.65,Royal Fabrics
2026-04-01,Casual Sandals,Footwear,64,34,99,-1,3.14,517,790.24,BlueLeaf Wholesale
2026-04-01,Formal Shoes,Footwear,60,46,95,11,2.68,1800,2504.65,Surya Textiles
2026-04-01,Women's Heels,Footwear,114,10,40,84,0.4,1650,2255.86,BlueLeaf Wholesale
2026-04-01,Flip Flops,Footwear,66,34,110,-10,3.93,835,1302.06,BlueLeaf Wholesale
2026-04-01,Winter Hoodie,Men's Wear,150,12,6,156,0.04,889,1227.03,BlueLeaf Wholesale
2026-04-01,Heavy Bridal Lehenga,Women's Wear,169,19,3,185,0.02,534,809.18,BlueLeaf Wholesale
2026-04-01,Woolen Shawl,Women's Wear,169,21,1,189,0.01,1492,2270.3,Vardhan Apparels
2026-04-01,Party Clutch,Accessories,200,15,8,207,0.04,495,708.34,Vardhan Apparels
2026-04-01,Leather Boots,Footwear,214,14,5,223,0.02,1291,1809.03,BlueLeaf Wholesale
2026-04-08,Classic Cotton Shirt,Men's Wear,95,58,84,69,1.02,384,526.98,Royal Fabrics
